pert_id,pert_iname
dmso,dmso
brd-k76908866,cp-724714
brd-k93788137,pf-431396
brd-a18328003,gdc-0980
brd-k12502280,tg-101348
brd-k05104363,pd-184352
brd-a14634327,gsk126
brd-k24496482,sb-590885
brd-k77908580,entinostat
brd-k87124298,osi-027
brd-k36363294,i-bet-151
brd-k57754230,epz-005687
brd-k52313696,tacedinaline
brd-k80738081,resveratrol
brd-k08109215,i-bet-762
brd-a48881734,cpi-169
brd-a19037878,trichostatin-a
brd-k76964878,ex-527
brd-k54606188,jq1-(+)
brd-k87465484,unc-0646
brd-k17743125,belinostat
brd-a67788537,salermide
brd-a18705706,zebularine
brd-k74236984,unc-0321
brd-k52560704,methylstat
brd-k11528507,geldanamycin
brd-k79254416,decitabine
brd-k26863634,bix-01338
brd-k98203492,gsk-j4
brd-a79768653,sirolimus
brd-a69563582,epz-5676
brd-k26818574,bix-01294
brd-k83189926,unc-1215
brd-a65730376,epz004777
brd-k90860366,1271738-62-5
brd-k27305650,ly-294002
brd-k64634304,tretinoin
brd-a81177136,kn-62
brd-k87737963,cyt387
brd-k37798499,etoposide
brd-k74148702,curcumin
brd-a72575012,calpain inhibitor ii
brd-k97118047,"4,5,6,7-tetrabromobenzotriazole"
brd-k25311561,ku-55933
brd-k65592642,semagacestat
brd-k68548958,brd-k68548958
brd-k07691486,roscovitine
brd-k92960067,smer-3
brd-a35108200,dexamethasone
brd-a55453956,compound e
brd-a34255068,rolipram
brd-k53972329,ruxolitinib
brd-k02113016,olaparib
brd-k93480852,kn-93
brd-k61688984,rgfp-966
brd-k35960502,niclosamide
brd-k86787118,bafilomycin a1
brd-k06692906,gossypetin
brd-k16761703,sotrastaurin
brd-k31406481,vu0155056
brd-k65716359,exifone
brd-k92123432,ginkgetin
brd-k69608737,tacrolimus
brd-a13254067,okadaic acid
brd-k16189898,chir-99021
brd-k49669041,bx-912
brd-k94176593,tws-119
brd-u64521890,xmd-16144
brd-k20696416,nvp-aew541
brd-k12184916,nvp-bez235
brd-k70401845,erlotinib
brd-k54997624,alpelisib
brd-k48488978,ym-201636
brd-k81528515,nilotinib
brd-u60236422,wh-4-025
brd-k07667918,linsitinib
brd-a60245366,as-601245
brd-k85606544,neratinib
brd-k85402309,dovitinib
brd-a21584801,brivanib
brd-k12343256,trametinib
brd-k79090631,cgp-60474
brd-k95435023,pha-665752
brd-a87137733,gsk-690693
brd-k04853698,ldn-193189
brd-k04801023,sar-245408
brd-k37687095,azd-8330
brd-k42191735,buparlisib
brd-k03449891,foretinib
brd-k78431006,crizotinib
brd-k65182930,nvp-auy922
brd-a41692738,tgx-221
brd-k58772419,azd-6482
brd-k15592317,cp-466722
brd-k08799216,pelitinib
brd-k68174511,torin-2
brd-k02965346,su-11274
brd-k69932463,azd-8055
brd-k87909389,alvocidib
brd-k06569345,hg-5-88-01
brd-k23984367,sorafenib
brd-k90382497,gw-843682x
brd-k57282030,jw-7-24-1
brd-k02708799,gsk-1059615
brd-k44100512,kin001-043
brd-k20285085,fostamatinib
brd-k13566078,bms-345541
brd-k19540840,saracatinib
brd-k64890080,bi-2536
brd-k52911425,gdc-0941
brd-k49865102,pd-0325901
brd-k94012289,osi-027
brd-k51313569,palbociclib
brd-k64800655,pha-793887
brd-k68065987,mk-2206
brd-k99545815,pf-562271
brd-k72636697,ql-x-138
brd-a24396574,celastrol
brd-a58767537,afatinib
brd-k49075727,nintedanib
brd-k50168500,canertinib
brd-k43389698,bms-387032
brd-k04833372,gsk-1904529a
brd-k49328571,dasatinib
brd-k97764662,pd-173074
brd-k67868012,pi-103
brd-k88573743,a-443654
brd-k72414522,azd-5438
brd-k99749624,linifanib
brd-u61997977,wz-4-145
brd-k13390322,at-7519
brd-k50140147,nvp-tae684
brd-k19220233,jnk-9l
brd-k46056750,azd-7762
brd-a45498368,wye-125132
brd-u41416256,thz-2-98-01
brd-u51024685,hg-6-64-01
brd-k57080016,selumetinib
brd-k63068307,zstk-474
brd-k19687926,lapatinib
brd-k42918627,gsk-2126458
brd-k64052750,gefitinib
brd-k92723993,imatinib
brd-k41895714,as-605240
brd-k40175214,torin-1
brd-k99252563,ql-xii-47
brd-k56751279,y-39983
brd-k01436366,xmd-1150
brd-u22633929,xmd11-85h
brd-k03063480,pf-477736
brd-k16478699,plx-4720
brd-k29395450,pik-93
brd-k93747373,hg-5-113-01
brd-k59369769,tozasertib
brd-k04887706,akt-inhibitor-1-2
brd-k00337317,nu-7441
brd-k56343971,vemurafenib
brd-k63923597,barasertib-hqpa
brd-k79404599,enzastaurin
brd-k92571446,wz-3105
brd-k64857848,xmd-885
brd-k66538826,amuvatinib
brd-k51575138,tpca-1
brd-k22096725,alw-ii-49-7
brd-k33379087,tivantinib
brd-k49055432,a-66
brd-k53414658,tivozanib
brd-k59184148,sb-216763
brd-k75308783,sar-245409
brd-k80700417,sgi-1776
brd-k51544265,cabozantinib
brd-k73368362,bix-02189
brd-k99964838,bosutinib
brd-k43002773,gdc-0068
brd-k25340465,osi-930
brd-k05804044,az-628
brd-k13662825,dinaciclib
brd-k73319509,pf-04217903
brd-k28392481,azd-4547
brd-k68336408,tyrphostin-ag-1478
brd-k21718444,kw-2449
brd-k57169635,dacomitinib
brd-k09186807,kin001-244
brd-k66847579,wz-7043
brd-a35869383,ibrutinib
brd-k26838195,ast-1306
brd-k49468759,kin001-266
brd-k42828737,sunitinib
brd-k74514084,pazopanib
brd-k71035033,masitinib
brd-k76694128,rebastinib
brd-k50000283,pha-767491
brd-k24050847,kin001-270
brd-k74065929,doramapimod
